Entidad federativa,Año,Porcentaje_alfabetizacion,Años_escolaridad_15,Pob_hombres,Pob_mujeres,Edad_mediana,Pob_0-4_años,Pob_10-14_años,Pob_+100_años,Pob_15-19_años,Pob_20-24_años,Pob_25-29_años,Pob_30-34_años,Pob_35-39_años,Pob_40-44_años,Pob_45-49_años,Pob_05-9_años,Pob_50-54_años,Pob_55-59_años,Pob_60-64_años,Pob_65-69_años,Pob_70-74_años,Pob_75-79_años,Pob_80-84_años,Pob_85-89_años,Pob_90-94_años,Pob_95-99_años,Pob_afro_share,Pob_indigena_share,Pob_catolica,Pob_no-catolica,Pob_sin-religion,Población urbana,Población rural,Población total,Ingreso_percapita_mean,Ingreso_hogar_mean
28 Tamaulipas,1995,NA,NA,1254700,1272628,23,282902,263237,296,275684,274901,229796,195075,82499,126389,103927,270441,86224,70066,59763,43449,31519,17911,11705,7576,2914,1220,NA,NA,NA,NA,NA,2103324,424004,2527328,NA,NA
28 Tamaulipas,2000,94.7967406338,8,1359874,1393348,24,296314,270114,429,271411,272292,252514,222680,93099,154690,116567,294747,98820,76894,67945,50474,36696,24953,12307,7883,3307,1680,NA,NA,2012177,272406,118986,2351929,401293,2753222,NA,NA
28 Tamaulipas,2005,NA,8.7,1493573,1530665,25,294740,290402,429,274245,267644,253314,248444,108728,185155,150775,295298,119530,91480,77434,60579,44260,30697,18581,8759,3287,1450,NA,NA,NA,NA,NA,2638914,385324,3024238,NA,NA
28 Tamaulipas,2010,94.56,9.12,1616201,1652353,27,302937,294469,408,291682,275453,258116,255313,122278,213736,177182,305122,147748,109317,89766,66138,53619,35422,22387,12078,3852,1427,NA,NA,2163331,436994,192282,2869609,398945,3268554,NA,NA
28 Tamaulipas,2015,95.9995104723,9.5085120868,NA,NA,27.761727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.293547,6.2958749,NA,NA,NA,NA,NA,NA,NA,NA
28 Tamaulipas,2020,97.1894448838,10.0922087841,1736140,1791595,30,271340,305853,353,294950,284064,267261,256845,125261,248637,236202,294344,211394,167744,139900,100333,73616,50993,33702,17930,7113,2287,1.2365157814,NA,2223753,635064,386253,3183836,343899,3527735,14836.502350869634,49688.1616639226
29 Tlaxcala,1995,NA,NA,435390,448534,20,106844,110597,138,103743,90107,71169,61544,25910,38503,31649,109410,25113,20211,18174,14448,10838,7367,4334,3127,1238,643,NA,NA,NA,NA,NA,706526,177398,883924,NA,NA
29 Tlaxcala,2000,92.1395923051,7.6,469948,492698,21,108862,110488,200,106450,95999,79360,69785,28977,48701,36434,115925,29923,22869,20010,16582,12377,9585,5308,3366,1392,828,NA,NA,791284,40194,8174,755263,207383,962646,NA,NA
29 Tlaxcala,2005,NA,8.3,517477,550730,23,114954,118450,188,108254,99680,88678,81874,33984,59577,48794,114239,37925,28757,24137,18889,14576,11317,7232,4171,1502,794,NA,NA,NA,NA,NA,835576,232631,1068207,NA,NA
29 Tlaxcala,2010,94.21,8.78,565775,604161,25,116073,118634,187,119172,104781,93720,90612,39297,71030,58822,123330,49362,36171,28530,21997,17497,13009,8741,5477,1997,794,NA,NA,955974,62549,13427,934240,235696,1169936,NA,NA
29 Tlaxcala,2015,95.2493528201,9.2741115629,NA,NA,25.798157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0619085,25.243411,NA,NA,NA,NA,NA,NA,NA,NA
29 Tlaxcala,2020,96.5071612177,9.8331696219,649894,693083,28,110460,119718,197,121207,113937,104758,96512,43586,89448,80395,117738,70782,56315,46505,33958,24495,17367,11591,7325,3217,1231,1.3473052778,NA,1045600,134684,29972,1119877,223100,1342977,9621.947928703266,37918.6391340074
30 Veracruz de Ignacio de la Llave,1995,NA,NA,3323880,3413444,21,776467,807421,1732,735362,647799,543854,474740,208089,336144,284928,808231,227050,183424,154740,112997,82096,51656,32694,19582,8609,4665,NA,NA,NA,NA,NA,3933231,2804093,6737324,NA,NA
